GEOID10,records,geometry
060730052001025,44,"POLYGON ((-117.149473 32.713675, -117.149473 32.713883, -117.149475 32.714184, -117.149478 32.714508, -117.14948 32.714717, -117.149298 32.714714, -117.148752 32.714705, -117.14857 32.714702, -117.14855 32.714687, -117.148525 32.714658, -117.148517 32.714651, -117.148497 32.714603, -117.148496 32.714481, -117.148496 32.71442, -117.148494 32.714272, -117.148493 32.714111, -117.148491 32.71383, -117.148491 32.713683, -117.148503 32.713682, -117.148543 32.713682, -117.148556 32.713682, -117.148739 32.713679, -117.149289 32.713676, -117.149473 32.713675))"
060730052001026,72,"POLYGON ((-117.149475 32.714184, -117.150395 32.71418, -117.150398 32.714503, -117.1504 32.714713, -117.150216 32.714713, -117.149663 32.714716, -117.14948 32.714717, -117.149478 32.714508, -117.149475 32.714184))"
060730052001027,213,"POLYGON ((-117.1504 32.714713, -117.150398 32.714503, -117.150395 32.71418, -117.150392 32.71388, -117.15039 32.713672, -117.150701 32.713669, -117.151637 32.713664, -117.15195 32.713663, -117.151951 32.71387, -117.151956 32.714498, -117.151958 32.714707, -117.151646 32.714708, -117.150711 32.714711, -117.1504 32.714713))"
060730052001028,93,"POLYGON ((-117.152865 32.714703, -117.152683 32.714703, -117.152139 32.714705, -117.151958 32.714707, -117.151956 32.714498, -117.151951 32.71387, -117.15195 32.713663, -117.152131 32.713662, -117.152678 32.713659, -117.15286 32.713659, -117.152861 32.713867, -117.152864 32.714494, -117.152865 32.714703))"
060730052001029,188,"POLYGON ((-117.151943 32.712618, -117.152124 32.712617, -117.15267 32.712615, -117.152853 32.712615, -117.152854 32.712823, -117.152858 32.71345, -117.15286 32.713659, -117.152678 32.713659, -117.152131 32.713662, -117.15195 32.713663, -117.151948 32.713454, -117.151944 32.712826, -117.151943 32.712618))"
060730052001030,367,"POLYGON ((-117.150384 32.71313, -117.150381 32.712836, -117.150379 32.712627, -117.150691 32.712624, -117.15163 32.712618, -117.151943 32.712618, -117.151944 32.712826, -117.151948 32.713454, -117.15195 32.713663, -117.151637 32.713664, -117.150701 32.713669, -117.15039 32.713672, -117.150387 32.713462, -117.150384 32.71313))"
060730052001031,629,"POLYGON ((-117.150379 32.712627, -117.150381 32.712836, -117.150384 32.71313, -117.150387 32.713462, -117.15039 32.713672, -117.150206 32.713672, -117.149656 32.713673, -117.149473 32.713675, -117.149471 32.713465, -117.149466 32.712839, -117.149465 32.712631, -117.149647 32.712629, -117.150196 32.712626, -117.150379 32.712627))"
060730052001032,30,"POLYGON ((-117.150395 32.71418, -117.149475 32.714184, -117.149473 32.713883, -117.149473 32.713675, -117.149656 32.713673, -117.150206 32.713672, -117.15039 32.713672, -117.150392 32.71388, -117.150395 32.71418))"
060730052001033,198,"POLYGON ((-117.149458 32.711532, -117.149638 32.71153, -117.15018 32.711526, -117.150361 32.711525, -117.150364 32.711745, -117.150375 32.712406, -117.150379 32.712627, -117.150196 32.712626, -117.149647 32.712629, -117.149465 32.712631, -117.149463 32.712411, -117.149459 32.711751, -117.149458 32.711532))"
060730052001034,121,"POLYGON ((-117.14855 32.711533, -117.148731 32.711532, -117.149276 32.711532, -117.149458 32.711532, -117.149459 32.711751, -117.149463 32.712411, -117.149465 32.712631, -117.149281 32.712631, -117.148728 32.712631, -117.148545 32.712632, -117.148545 32.712412, -117.148549 32.711751, -117.14855 32.711533))"
060730052001035,198,"POLYGON ((-117.148556 32.713682, -117.148553 32.713472, -117.148547 32.71284, -117.148545 32.712632, -117.148728 32.712631, -117.149281 32.712631, -117.149465 32.712631, -117.149466 32.712839, -117.149471 32.713465, -117.149473 32.713675, -117.149289 32.713676, -117.148739 32.713679, -117.148556 32.713682))"
060730052001036,62,"POLYGON ((-117.150361 32.711525, -117.150673 32.711528, -117.151609 32.711537, -117.151922 32.711541, -117.151926 32.711756, -117.151938 32.712401, -117.151943 32.712618, -117.15163 32.712618, -117.150691 32.712624, -117.150379 32.712627, -117.150375 32.712406, -117.150364 32.711745, -117.150361 32.711525))"
060730052001037,43,"POLYGON ((-117.151922 32.711541, -117.152103 32.71154, -117.15265 32.71154, -117.152832 32.71154, -117.152836 32.711754, -117.152848 32.7124, -117.152853 32.712615, -117.15267 32.712615, -117.152124 32.712617, -117.151943 32.712618, -117.151938 32.712401, -117.151926 32.711756, -117.151922 32.711541))"
060730052001038,141,"POLYGON ((-117.152832 32.71154, -117.153014 32.711536, -117.153561 32.711526, -117.153744 32.711524, -117.153747 32.711741, -117.153759 32.712393, -117.153763 32.712611, -117.153746 32.712611, -117.15358 32.712611, -117.153034 32.712612, -117.152853 32.712615, -117.152848 32.7124, -117.152836 32.711754, -117.152832 32.71154))"
060730052001039,34,"POLYGON ((-117.15286 32.713659, -117.152858 32.71345, -117.152854 32.712823, -117.152853 32.712615, -117.153034 32.712612, -117.15358 32.712611, -117.153746 32.712611, -117.153763 32.712611, -117.153764 32.712819, -117.153769 32.713442, -117.153771 32.713652, -117.153754 32.713652, -117.153588 32.713653, -117.153042 32.713656, -117.15286 32.713659))"
060730052001040,15,"POLYGON ((-117.154178 32.712608, -117.154276 32.712606, -117.154571 32.712604, -117.15467 32.712604, -117.154672 32.712812, -117.154678 32.713439, -117.154681 32.713648, -117.154507 32.713648, -117.153986 32.71365, -117.153813 32.713652, -117.153804 32.713652, -117.153779 32.713652, -117.153771 32.713652, -117.153769 32.713442, -117.153764 32.712819, -117.153763 32.712611, -117.153845 32.712609, -117.154095 32.712608, -117.154178 32.712608))"
060730052001041,23,"POLYGON ((-117.15467 32.712604, -117.154852 32.712601, -117.155398 32.7126, -117.155581 32.7126, -117.155582 32.712808, -117.155586 32.713434, -117.155588 32.713644, -117.155406 32.713644, -117.154862 32.713645, -117.154681 32.713648, -117.154678 32.713439, -117.154672 32.712812, -117.15467 32.712604))"
060730052001042,32,"POLYGON ((-117.155595 32.714689, -117.155413 32.714689, -117.154869 32.714694, -117.154688 32.714696, -117.154686 32.714486, -117.154682 32.713856, -117.154681 32.713648, -117.154862 32.713645, -117.155406 32.713644, -117.155588 32.713644, -117.155589 32.713853, -117.155593 32.71448, -117.155595 32.714689))"
060730052001043,27,"POLYGON ((-117.156516 32.714682, -117.156331 32.714683, -117.155779 32.714686, -117.155595 32.714689, -117.155593 32.71448, -117.155589 32.713853, -117.155588 32.713644, -117.155771 32.713642, -117.156324 32.713639, -117.156508 32.71364, -117.156509 32.713848, -117.156514 32.714473, -117.156516 32.714682))"
060730052001044,67,"POLYGON ((-117.155595 32.714689, -117.155779 32.714686, -117.156331 32.714683, -117.156516 32.714682, -117.156517 32.714889, -117.156521 32.71551, -117.156523 32.715718, -117.156339 32.715718, -117.155789 32.715719, -117.155606 32.715722, -117.155603 32.715515, -117.155597 32.714895, -117.155595 32.714689))"
060730052001045,146,"POLYGON ((-117.154195 32.711521, -117.154286 32.711519, -117.154561 32.711517, -117.154653 32.711518, -117.154656 32.711734, -117.154666 32.712386, -117.15467 32.712604, -117.154571 32.712604, -117.154276 32.712606, -117.154178 32.712608, -117.154095 32.712608, -117.153845 32.712609, -117.153763 32.712611, -117.153759 32.712393, -117.153747 32.711741, -117.153744 32.711524, -117.153834 32.711522, -117.154104 32.71152, -117.154195 32.711521))"
060730052001046,55,"POLYGON ((-117.154653 32.711518, -117.154835 32.711517, -117.155383 32.711519, -117.155566 32.71152, -117.155569 32.711734, -117.155578 32.712383, -117.155581 32.7126, -117.155398 32.7126, -117.154852 32.712601, -117.15467 32.712604, -117.154666 32.712386, -117.154656 32.711734, -117.154653 32.711518))"
060730052001047,141,"POLYGON ((-117.155566 32.71152, -117.155748 32.711517, -117.156297 32.711514, -117.15648 32.711513, -117.156483 32.711729, -117.156493 32.712379, -117.156497 32.712596, -117.156313 32.712595, -117.155764 32.712598, -117.155581 32.7126, -117.155578 32.712383, -117.155569 32.711734, -117.155566 32.71152))"
060730052001048,28,"POLYGON ((-117.155581 32.7126, -117.155764 32.712598, -117.156313 32.712595, -117.156497 32.712596, -117.156499 32.712804, -117.156505 32.713431, -117.156508 32.71364, -117.156324 32.713639, -117.155771 32.713642, -117.155588 32.713644, -117.155586 32.713434, -117.155582 32.712808, -117.155581 32.7126))"
060730052001049,51,"POLYGON ((-117.147744 32.712756, -117.147742 32.712536, -117.147736 32.711879, -117.147735 32.71166, -117.147734 32.711633, -117.147734 32.711557, -117.147734 32.711533, -117.147897 32.711533, -117.148386 32.711533, -117.14855 32.711533, -117.148549 32.711751, -117.148545 32.712412, -117.148545 32.712632, -117.148416 32.712643, -117.148416 32.712644, -117.148036 32.712705, -117.147909 32.712728, -117.147876 32.712733, -117.147776 32.71275, -117.147744 32.712756))"
060730052002000,72,"POLYGON ((-117.154725 32.718878, -117.154905 32.718877, -117.1553 32.71888, -117.155448 32.718877, -117.155629 32.718877, -117.155633 32.719082, -117.155647 32.719704, -117.155652 32.719911, -117.155468 32.719911, -117.155038 32.719912, -117.154919 32.719912, -117.154736 32.719912, -117.154734 32.719803, -117.154731 32.719476, -117.15473 32.719368, -117.154729 32.719268, -117.154726 32.718975, -117.154725 32.718878))"
060730052002001,8,"POLYGON ((-117.155629 32.718877, -117.155813 32.718874, -117.156367 32.71887299999999, -117.156552 32.71887299999999, -117.156553 32.719078, -117.156557 32.719695, -117.156559 32.719901, -117.156137 32.719906, -117.155652 32.719911, -117.155647 32.719704, -117.155633 32.719082, -117.155629 32.718877))"
060730052002002,23,"POLYGON ((-117.155621 32.717825, -117.155804 32.717824, -117.156357 32.717821, -117.156541 32.717821, -117.156543 32.718031, -117.156549 32.718662, -117.156552 32.71887299999999, -117.156367 32.71887299999999, -117.155813 32.718874, -117.155629 32.718877, -117.155627 32.718666, -117.155622 32.718035, -117.155621 32.717825))"
060730052002003,84,"POLYGON ((-117.154725 32.718878, -117.154723 32.718667, -117.154718 32.718035, -117.154717 32.717826, -117.154897 32.717824, -117.15544 32.717824, -117.155621 32.717825, -117.155622 32.718035, -117.155627 32.718666, -117.155629 32.718877, -117.155448 32.718877, -117.1553 32.71888, -117.154905 32.718877, -117.154725 32.718878))"
060730052002004,181,"POLYGON ((-117.153795 32.718877, -117.153797 32.718667, -117.153804 32.718038, -117.153807 32.71783, -117.153988 32.717829, -117.154535 32.717826, -117.154717 32.717826, -117.154718 32.718035, -117.154723 32.718667, -117.154725 32.718878, -117.154539 32.718877, -117.153981 32.718877, -117.153795 32.718877))"
060730052002005,4,"POLYGON ((-117.153781 32.71938, -117.153783 32.719279, -117.153792 32.718977, -117.153795 32.718877, -117.153981 32.718877, -117.154539 32.718877, -117.154725 32.718878, -117.154726 32.718975, -117.154729 32.719268, -117.15473 32.719368, -117.15454 32.719369, -117.15397 32.719377, -117.153781 32.71938))"
060730052002006,150,"POLYGON ((-117.153807 32.71783, -117.153804 32.717618, -117.153795 32.716985, -117.153793 32.716774, -117.153975 32.716771, -117.154523 32.716766, -117.154706 32.716765, -117.154708 32.716977, -117.154714 32.717613, -117.154717 32.717826, -117.154535 32.717826, -117.153988 32.717829, -117.153807 32.71783))"
060730052002007,155,"POLYGON ((-117.154717 32.717826, -117.154714 32.717613, -117.154708 32.716977, -117.154706 32.716765, -117.154887 32.716763, -117.155432 32.716763, -117.155614 32.716764, -117.155615 32.716976, -117.155619 32.717612, -117.155621 32.717825, -117.15544 32.717824, -117.154897 32.717824, -117.154717 32.717826))"
060730052002008,171,"POLYGON ((-117.155614 32.716764, -117.155798 32.716763, -117.156349 32.716763, -117.156534 32.716765, -117.156535 32.716976, -117.156539 32.717609, -117.156541 32.717821, -117.156357 32.717821, -117.155804 32.717824, -117.155621 32.717825, -117.155619 32.717612, -117.155615 32.716976, -117.155614 32.716764))"
060730052002009,77,"POLYGON ((-117.155614 32.716736, -117.155612 32.716533, -117.155607 32.715924, -117.155606 32.715722, -117.155789 32.715719, -117.156339 32.715718, -117.156523 32.715718, -117.156525 32.715919, -117.156531 32.716526, -117.156534 32.716729, -117.156534 32.716735, -117.156534 32.716757, -117.156534 32.716765, -117.156349 32.716763, -117.155798 32.716763, -117.155614 32.716764, -117.155614 32.716758, -117.155614 32.716741, -117.155614 32.716736))"
060730052002010,71,"POLYGON ((-117.155614 32.716764, -117.155432 32.716763, -117.154887 32.716763, -117.154706 32.716765, -117.154706 32.716759, -117.154706 32.716744, -117.154706 32.716739, -117.154704 32.716537, -117.1547 32.71593, -117.154699 32.715729, -117.15488 32.715727, -117.155424 32.715722, -117.155606 32.715722, -117.155607 32.715924, -117.155612 32.716533, -117.155614 32.716736, -117.155614 32.716741, -117.155614 32.716758, -117.155614 32.716764))"
060730052002011,139,"POLYGON ((-117.153806 32.715733, -117.153984 32.71573, -117.15452 32.715729, -117.154699 32.715729, -117.1547 32.71593, -117.154704 32.716537, -117.154706 32.716739, -117.154706 32.716744, -117.154706 32.716759, -117.154706 32.716765, -117.154523 32.716766, -117.153975 32.716771, -117.153793 32.716774, -117.153791 32.716565, -117.153787 32.715941, -117.153786 32.715733, -117.15379 32.715733, -117.153802 32.715733, -117.153806 32.715733))"
060730052002012,73,"POLYGON ((-117.152872 32.716405, -117.152869 32.715947, -117.152869 32.71574, -117.153052 32.715738, -117.153602 32.715733, -117.153786 32.715733, -117.153787 32.715941, -117.153791 32.716565, -117.153793 32.716774, -117.153608 32.716775, -117.153056 32.71678, -117.152873 32.716784, -117.152872 32.716575, -117.152872 32.716405))"
060730052002013,157,"POLYGON ((-117.152865 32.714703, -117.153047 32.7147, -117.153595 32.714699, -117.153761 32.714699, -117.153778 32.714699, -117.153779 32.714905, -117.15378 32.715004, -117.153784 32.715525, -117.153786 32.715733, -117.153602 32.715733, -117.153052 32.715738, -117.152869 32.71574, -117.152868 32.715532, -117.152865 32.71491, -117.152865 32.714703))"
060730052002014,176,"POLYGON ((-117.153778 32.714699, -117.153787 32.714699, -117.153815 32.714699, -117.153825 32.714699, -117.153997 32.714698, -117.154515 32.714696, -117.154688 32.714696, -117.15469 32.714902, -117.154696 32.715522, -117.154699 32.715729, -117.15452 32.715729, -117.153984 32.71573, -117.153806 32.715733, -117.153802 32.715733, -117.15379 32.715733, -117.153786 32.715733, -117.153784 32.715525, -117.15378 32.715004, -117.153779 32.714905, -117.153778 32.714699))"
060730052002015,122,"POLYGON ((-117.154688 32.714696, -117.154869 32.714694, -117.155413 32.714689, -117.155595 32.714689, -117.155597 32.714895, -117.155603 32.715515, -117.155606 32.715722, -117.155424 32.715722, -117.15488 32.715727, -117.154699 32.715729, -117.154696 32.715522, -117.15469 32.714902, -117.154688 32.714696))"
060730052002016,204,"POLYGON ((-117.153778 32.714699, -117.153761 32.714699, -117.153595 32.714699, -117.153047 32.7147, -117.152865 32.714703, -117.152864 32.714494, -117.152861 32.713867, -117.15286 32.713659, -117.153042 32.713656, -117.153588 32.713653, -117.153754 32.713652, -117.153771 32.713652, -117.153772 32.713861, -117.153776 32.714489, -117.153778 32.714699))"
060730052002017,281,"POLYGON ((-117.153825 32.714699, -117.153815 32.714699, -117.153787 32.714699, -117.153778 32.714699, -117.153776 32.714489, -117.153772 32.713861, -117.153771 32.713652, -117.153779 32.713652, -117.153804 32.713652, -117.153813 32.713652, -117.153986 32.71365, -117.154507 32.713648, -117.154681 32.713648, -117.154682 32.713856, -117.154686 32.714486, -117.154688 32.714696, -117.154515 32.714696, -117.153997 32.714698, -117.153825 32.714699))"
060730053001000,9,"POLYGON ((-117.156552 32.71887299999999, -117.15673 32.718871, -117.157267 32.718868, -117.157446 32.718869, -117.157448 32.719074, -117.157454 32.71969, -117.157457 32.719897, -117.157277 32.719897, -117.156738 32.719898, -117.156559 32.719901, -117.156557 32.719695, -117.156553 32.719078, -117.156552 32.71887299999999))"
060730053001001,31,"POLYGON ((-117.157446 32.718869, -117.157628 32.718867, -117.158177 32.718864, -117.15836 32.718863, -117.158362 32.719068, -117.158368 32.719685, -117.15837 32.719891, -117.158187 32.719892, -117.157639 32.719895, -117.157457 32.719897, -117.157454 32.71969, -117.157448 32.719074, -117.157446 32.718869))"
060730053001002,53,"POLYGON ((-117.15836 32.718863, -117.158546 32.71886, -117.159106 32.718859, -117.159293 32.718859, -117.159293 32.719065, -117.159296 32.719687, -117.159297 32.719895, -117.159111 32.719893, -117.158555 32.71989, -117.15837 32.719891, -117.158368 32.719685, -117.158362 32.719068, -117.15836 32.718863))"
060730053001003,44,"POLYGON ((-117.159293 32.718859, -117.159471 32.718857, -117.160005 32.718854, -117.160184 32.718855, -117.160186 32.719063, -117.160192 32.71969, -117.160194 32.719899, -117.160014 32.719898, -117.159476 32.719895, -117.159297 32.719895, -117.159296 32.719687, -117.159293 32.719065, -117.159293 32.718859))"
060730053001004,328,"POLYGON ((-117.160184 32.718855, -117.160369 32.718853, -117.160924 32.718849, -117.16111 32.718848, -117.161111 32.719059, -117.161116 32.719692, -117.161118 32.719903, -117.160933 32.719901, -117.160378 32.719898, -117.160194 32.719899, -117.160192 32.71969, -117.160186 32.719063, -117.160184 32.718855))"
060730053001005,45,"POLYGON ((-117.160173 32.71781, -117.160358 32.717809, -117.160913 32.717809, -117.161099 32.717809, -117.161101 32.718016, -117.161107 32.71864, -117.16111 32.718848, -117.160924 32.718849, -117.160369 32.718853, -117.160184 32.718855, -117.160181 32.718646, -117.160175 32.718019, -117.160173 32.71781))"
060730053001006,63,"POLYGON ((-117.159282 32.717812, -117.15946 32.71781, -117.159994 32.71781, -117.160173 32.71781, -117.160175 32.718019, -117.160181 32.718646, -117.160184 32.718855, -117.160005 32.718854, -117.159471 32.718857, -117.159293 32.718859, -117.15929 32.718649, -117.159284 32.718021, -117.159282 32.717812))"
060730053001007,52,"POLYGON ((-117.158352 32.717813, -117.158537 32.717812, -117.159096 32.717812, -117.159282 32.717812, -117.159284 32.718021, -117.15929 32.718649, -117.159293 32.718859, -117.159106 32.718859, -117.158546 32.71886, -117.15836 32.718863, -117.158358 32.718653, -117.158353 32.718021, -117.158352 32.717813))"
060730053001008,8,"POLYGON ((-117.157442 32.717817, -117.157623 32.717816, -117.15817 32.717813, -117.158352 32.717813, -117.158353 32.718021, -117.158358 32.718653, -117.15836 32.718863, -117.158177 32.718864, -117.157628 32.718867, -117.157446 32.718869, -117.157445 32.718657, -117.157442 32.718027, -117.157442 32.717817))"
060730053001009,14,"POLYGON ((-117.156541 32.717821, -117.156721 32.717819, -117.157261 32.717816, -117.157442 32.717817, -117.157442 32.718027, -117.157445 32.718657, -117.157446 32.718869, -117.157267 32.718868, -117.15673 32.718871, -117.156552 32.71887299999999, -117.156549 32.718662, -117.156543 32.718031, -117.156541 32.717821))"
060730053001010,69,"POLYGON ((-117.156534 32.716765, -117.156714 32.716763, -117.157254 32.716763, -117.157434 32.716764, -117.157435 32.716974, -117.15744 32.717606, -117.157442 32.717817, -117.157261 32.717816, -117.156721 32.717819, -117.156541 32.717821, -117.156539 32.717609, -117.156535 32.716976, -117.156534 32.716765))"
060730053001011,25,"POLYGON ((-117.157434 32.716764, -117.157616 32.716763, -117.158165 32.716763, -117.158348 32.716763, -117.158348 32.716973, -117.158351 32.717602, -117.158352 32.717813, -117.15817 32.717813, -117.157623 32.717816, -117.157442 32.717817, -117.15744 32.717606, -117.157435 32.716974, -117.157434 32.716764))"
060730053001012,78,"POLYGON ((-117.158348 32.716763, -117.158532 32.716763, -117.159086 32.716763, -117.159271 32.716764, -117.159273 32.716973, -117.159279 32.717602, -117.159282 32.717812, -117.159096 32.717812, -117.158537 32.717812, -117.158352 32.717813, -117.158351 32.717602, -117.158348 32.716973, -117.158348 32.716763))"
060730053001013,47,"POLYGON ((-117.159271 32.716764, -117.159449 32.716763, -117.159986 32.716763, -117.160165 32.716763, -117.160166 32.716972, -117.160171 32.717599, -117.160173 32.71781, -117.159994 32.71781, -117.15946 32.71781, -117.159282 32.717812, -117.159279 32.717602, -117.159273 32.716973, -117.159271 32.716764))"
060730053001014,93,"POLYGON ((-117.160165 32.716763, -117.160349 32.716762, -117.160904 32.716762, -117.161089 32.716762, -117.161091 32.716971, -117.161097 32.717599, -117.161099 32.717809, -117.160913 32.717809, -117.160358 32.717809, -117.160173 32.71781, -117.160171 32.717599, -117.160166 32.716972, -117.160165 32.716763))"
060730053001015,123,"POLYGON ((-117.160158 32.7157, -117.160342 32.715698, -117.160896 32.715696, -117.161081 32.715696, -117.161082 32.715904, -117.161087 32.716531, -117.161089 32.71674, -117.161089 32.716744, -117.161089 32.716757, -117.161089 32.716762, -117.160904 32.716762, -117.160349 32.716762, -117.160165 32.716763, -117.160165 32.716759, -117.160165 32.716746, -117.160165 32.716743, -117.160163 32.716534, -117.160159 32.715908, -117.160158 32.7157))"
060730053001016,206,"POLYGON ((-117.15926 32.715706, -117.159439 32.715704, -117.159978 32.715701, -117.160158 32.7157, -117.160159 32.715908, -117.160163 32.716534, -117.160165 32.716743, -117.160165 32.716746, -117.160165 32.716759, -117.160165 32.716763, -117.159986 32.716763, -117.159449 32.716763, -117.159271 32.716764, -117.159271 32.71676, -117.159271 32.716749, -117.159271 32.716747, -117.159268 32.716538, -117.159262 32.715913, -117.15926 32.715706))"
060730053001017,79,"POLYGON ((-117.15834 32.71571, -117.158523 32.715708, -117.159076 32.715705, -117.15926 32.715706, -117.159262 32.715913, -117.159268 32.716538, -117.159271 32.716747, -117.159271 32.716749, -117.159271 32.71676, -117.159271 32.716764, -117.159086 32.716763, -117.158532 32.716763, -117.158348 32.716763, -117.158348 32.71676, -117.158348 32.716751, -117.158348 32.716749, -117.158346 32.716541, -117.158341 32.715916, -117.15834 32.71571))"
060730053001018,156,"POLYGON ((-117.15743 32.715714, -117.157611 32.715713, -117.158158 32.71571, -117.15834 32.71571, -117.158341 32.715916, -117.158346 32.716541, -117.158348 32.716749, -117.158348 32.716751, -117.158348 32.71676, -117.158348 32.716763, -117.158165 32.716763, -117.157616 32.716763, -117.157434 32.716764, -117.157434 32.716761, -117.157434 32.716752, -117.157434 32.71675, -117.157433 32.716541, -117.15743 32.715921, -117.15743 32.715714))"
060730053001019,148,"POLYGON ((-117.156523 32.715718, -117.156704 32.715716, -117.157248 32.715714, -117.15743 32.715714, -117.15743 32.715921, -117.157433 32.716541, -117.157434 32.71675, -117.157434 32.716752, -117.157434 32.716761, -117.157434 32.716764, -117.157254 32.716763, -117.156714 32.716763, -117.156534 32.716765, -117.156534 32.716757, -117.156534 32.716735, -117.156534 32.716729, -117.156531 32.716526, -117.156525 32.715919, -117.156523 32.715718))"
060730053002000,702,"POLYGON ((-117.156516 32.714682, -117.156697 32.71468, -117.157244 32.714674, -117.157426 32.714673, -117.157426 32.714881, -117.157429 32.715505, -117.15743 32.715714, -117.157248 32.715714, -117.156704 32.715716, -117.156523 32.715718, -117.156521 32.71551, -117.156517 32.714889, -117.156516 32.714682))"
060730053002001,45,"POLYGON ((-117.157426 32.714673, -117.157607 32.714671, -117.158154 32.714667, -117.158336 32.714666, -117.158336 32.714874, -117.158339 32.715501, -117.15834 32.71571, -117.158158 32.71571, -117.157611 32.715713, -117.15743 32.715714, -117.157429 32.715505, -117.157426 32.714881, -117.157426 32.714673))"
060730053002002,25,"POLYGON ((-117.158336 32.714666, -117.158519 32.714664, -117.159069 32.71466, -117.159253 32.714659, -117.159254 32.714868, -117.159258 32.715496, -117.15926 32.715706, -117.159076 32.715705, -117.158523 32.715708, -117.15834 32.71571, -117.158339 32.715501, -117.158336 32.714874, -117.158336 32.714666))"
060730053002003,113,"POLYGON ((-117.159253 32.714659, -117.159432 32.714657, -117.159973 32.714651, -117.160153 32.71465, -117.160153 32.714858, -117.160156 32.71549, -117.160158 32.7157, -117.159978 32.715701, -117.159439 32.715704, -117.15926 32.715706, -117.159258 32.715496, -117.159254 32.714868, -117.159253 32.714659))"
060730053002004,116,"POLYGON ((-117.161077 32.714643, -117.161077 32.714852, -117.16108 32.715485, -117.161081 32.715696, -117.160896 32.715696, -117.160342 32.715698, -117.160158 32.7157, -117.160156 32.71549, -117.160153 32.714858, -117.160153 32.71465, -117.160337 32.714647, -117.160892 32.714644, -117.161077 32.714643))"
060730053002005,78,"POLYGON ((-117.161072 32.713621, -117.161073 32.713825, -117.161076 32.714438, -117.161077 32.714643, -117.160892 32.714644, -117.160337 32.714647, -117.160153 32.71465, -117.160151 32.714444, -117.160147 32.71383, -117.160146 32.713625, -117.160331 32.713623, -117.160886 32.713621, -117.161072 32.713621))"
060730053002006,92,"POLYGON ((-117.160153 32.71465, -117.159973 32.714651, -117.159432 32.714657, -117.159253 32.714659, -117.15925 32.714453, -117.159244 32.713835, -117.159242 32.713629, -117.159422 32.713627, -117.159965 32.713625, -117.160146 32.713625, -117.160147 32.71383, -117.160151 32.714444, -117.160153 32.71465))"
060730053002007,50,"POLYGON ((-117.159253 32.714659, -117.159069 32.71466, -117.158519 32.714664, -117.158336 32.714666, -117.158334 32.714458, -117.15833 32.713839, -117.158329 32.713633, -117.158511 32.713631, -117.159059 32.713628, -117.159242 32.713629, -117.159244 32.713835, -117.15925 32.714453, -117.159253 32.714659))"
060730053002008,583,"POLYGON ((-117.158336 32.714666, -117.158154 32.714667, -117.157607 32.714671, -117.157426 32.714673, -117.157424 32.714464, -117.157419 32.713844, -117.157418 32.713637, -117.1576 32.713634, -117.158146 32.713633, -117.158329 32.713633, -117.15833 32.713839, -117.158334 32.714458, -117.158336 32.714666))"
060730053002009,958,"POLYGON ((-117.157426 32.714673, -117.157244 32.714674, -117.156697 32.71468, -117.156516 32.714682, -117.156514 32.714473, -117.156509 32.713848, -117.156508 32.71364, -117.156689 32.713639, -117.157236 32.713637, -117.157418 32.713637, -117.157419 32.713844, -117.157424 32.714464, -117.157426 32.714673))"
060730053002010,254,"POLYGON ((-117.156497 32.712596, -117.15668 32.712593, -117.15723 32.712587, -117.157414 32.712587, -117.157414 32.712797, -117.157417 32.713427, -117.157418 32.713637, -117.157236 32.713637, -117.156689 32.713639, -117.156508 32.71364, -117.156505 32.713431, -117.156499 32.712804, -117.156497 32.712596))"
060730053002011,316,"POLYGON ((-117.157414 32.712587, -117.157595 32.712584, -117.158142 32.712581, -117.158324 32.71258, -117.158325 32.71279, -117.158328 32.713422, -117.158329 32.713633, -117.158146 32.713633, -117.1576 32.713634, -117.157418 32.713637, -117.157417 32.713427, -117.157414 32.712797, -117.157414 32.712587))"
060730053002012,63,"POLYGON ((-117.158324 32.71258, -117.158505 32.712577, -117.159049 32.712572, -117.159231 32.71257, -117.159233 32.712781, -117.159239 32.713417, -117.159242 32.713629, -117.159059 32.713628, -117.158511 32.713631, -117.158329 32.713633, -117.158328 32.713422, -117.158325 32.71279, -117.158324 32.71258))"
060730053002013,321,"POLYGON ((-117.159231 32.71257, -117.159412 32.712567, -117.159956 32.712564, -117.160138 32.712564, -117.160139 32.712775, -117.160144 32.713412, -117.160146 32.713625, -117.159965 32.713625, -117.159422 32.713627, -117.159242 32.713629, -117.159239 32.713417, -117.159233 32.712781, -117.159231 32.71257))"
060730053002014,141,"POLYGON ((-117.160138 32.712564, -117.160324 32.712562, -117.160882 32.712556, -117.161068 32.712554, -117.161068 32.712767, -117.161071 32.713406, -117.161072 32.713621, -117.160886 32.713621, -117.160331 32.713623, -117.160146 32.713625, -117.160144 32.713412, -117.160139 32.712775, -117.160138 32.712564))"
060730053002015,85,"POLYGON ((-117.160121 32.711489, -117.160304 32.711487, -117.160853 32.711485, -117.161037 32.711485, -117.161043 32.711698, -117.161061 32.712339, -117.161068 32.712554, -117.160882 32.712556, -117.160324 32.712562, -117.160138 32.712564, -117.160134 32.712349, -117.160124 32.711703, -117.160121 32.711489))"
