GEOID10,records,geometry
060730051001015,379,"POLYGON ((-117.14773 32.706273, -117.147888 32.706271, -117.148364 32.706268, -117.148523 32.706267, -117.148525 32.706347, -117.148531 32.70659, -117.148533 32.706671, -117.148532 32.706758, -117.148517 32.706895, -117.148504 32.706956, -117.148483 32.707057, -117.148434 32.707203, -117.148363 32.707356, -117.148278 32.707497, -117.148208 32.707621, -117.148159 32.70774, -117.148155 32.707751, -117.148118 32.707884, -117.148099 32.708021, -117.148047 32.708178, -117.148014 32.708284, -117.147893 32.708683, -117.147796 32.709083, -117.147732 32.709352, -117.147731 32.708775, -117.14773 32.707045, -117.14773 32.706469, -117.14773 32.706429, -117.14773 32.706311, -117.14773 32.706273))"
060730051002000,338,"POLYGON ((-117.151911 32.710458, -117.152092 32.710456, -117.152639 32.710454, -117.152821 32.710454, -117.152823 32.71067, -117.152829 32.711322, -117.152832 32.71154, -117.15265 32.71154, -117.152103 32.71154, -117.151922 32.711541, -117.151919 32.711323, -117.151913 32.710673, -117.151911 32.710458))"
060730051002001,183,"POLYGON ((-117.152821 32.710454, -117.153004 32.710451, -117.153556 32.71045, -117.153724 32.71045, -117.153741 32.71045, -117.153741 32.710664, -117.153743 32.711309, -117.153744 32.711524, -117.153561 32.711526, -117.153014 32.711536, -117.152832 32.71154, -117.152829 32.711322, -117.152823 32.71067, -117.152821 32.710454))"
060730051002002,33,"POLYGON ((-117.154032 32.710451, -117.154155 32.710451, -117.154524 32.710451, -117.154648 32.710452, -117.154649 32.710665, -117.154652 32.711304, -117.154653 32.711518, -117.154561 32.711517, -117.154286 32.711519, -117.154195 32.711521, -117.154104 32.71152, -117.153834 32.711522, -117.153744 32.711524, -117.153743 32.711309, -117.153741 32.710664, -117.153741 32.71045, -117.153799 32.71045, -117.153973 32.71045, -117.154032 32.710451))"
060730051002003,22,"POLYGON ((-117.154648 32.710452, -117.154831 32.710448, -117.155381 32.71044, -117.155565 32.710437, -117.155565 32.710653, -117.155565 32.711303, -117.155566 32.71152, -117.155383 32.711519, -117.154835 32.711517, -117.154653 32.711518, -117.154652 32.711304, -117.154649 32.710665, -117.154648 32.710452))"
060730051002004,25,"POLYGON ((-117.156469 32.710441, -117.156471 32.710655, -117.156475 32.711131, -117.156477 32.711298, -117.15648 32.711513, -117.156297 32.711514, -117.155748 32.711517, -117.155566 32.71152, -117.155565 32.711303, -117.155565 32.710653, -117.155565 32.710437, -117.155745 32.710437, -117.156288 32.71044, -117.156469 32.710441))"
060730051002005,42,"POLYGON ((-117.155548 32.709396, -117.155728 32.709395, -117.15627 32.709394, -117.156451 32.709394, -117.156454 32.709603, -117.156465 32.710231, -117.156469 32.710441, -117.156288 32.71044, -117.155745 32.710437, -117.155565 32.710437, -117.155561 32.710228, -117.155551 32.709604, -117.155548 32.709396))"
060730051002006,20,"POLYGON ((-117.154634 32.709402, -117.154816 32.7094, -117.155365 32.709397, -117.155548 32.709396, -117.155551 32.709604, -117.155561 32.710228, -117.155565 32.710437, -117.155381 32.71044, -117.154831 32.710448, -117.154648 32.710452, -117.154645 32.710242, -117.154636 32.709611, -117.154634 32.709402))"
060730051002007,18,"POLYGON ((-117.153982 32.709401, -117.154112 32.709401, -117.154503 32.709401, -117.154634 32.709402, -117.154636 32.709611, -117.154645 32.710242, -117.154648 32.710452, -117.154524 32.710451, -117.154155 32.710451, -117.154032 32.710451, -117.153973 32.71045, -117.153799 32.71045, -117.153741 32.71045, -117.153738 32.71024, -117.153732 32.709609, -117.15373 32.709401, -117.15378 32.709401, -117.153931 32.709401, -117.153982 32.709401))"
060730051002008,387,"POLYGON ((-117.152804 32.709421, -117.152989 32.709415, -117.153544 32.709404, -117.15373 32.709401, -117.153732 32.709609, -117.153738 32.71024, -117.153741 32.71045, -117.153724 32.71045, -117.153556 32.71045, -117.153004 32.710451, -117.152821 32.710454, -117.152817 32.710247, -117.152807 32.709626, -117.152804 32.709421))"
060730051002009,507,"POLYGON ((-117.151897 32.709425, -117.152078 32.709423, -117.152622 32.709421, -117.152804 32.709421, -117.152807 32.709626, -117.152817 32.710247, -117.152821 32.710454, -117.152639 32.710454, -117.152092 32.710456, -117.151911 32.710458, -117.151908 32.710251, -117.151899 32.709631, -117.151897 32.709425))"
060730051002010,396,"POLYGON ((-117.151897 32.709425, -117.151894 32.709214, -117.151885 32.708582, -117.151883 32.708372, -117.152064 32.708371, -117.152608 32.708373, -117.15279 32.708374, -117.152792 32.708582, -117.152801 32.709211, -117.152804 32.709421, -117.152622 32.709421, -117.152078 32.709423, -117.151897 32.709425))"
060730051002011,1512,"POLYGON ((-117.15279 32.708374, -117.152976 32.708371, -117.153536 32.70837, -117.153723 32.70837, -117.153724 32.708576, -117.153727 32.708992, -117.153728 32.709193, -117.15373 32.709401, -117.153544 32.709404, -117.152989 32.709415, -117.152804 32.709421, -117.152801 32.709211, -117.152792 32.708582, -117.15279 32.708374))"
060730051002012,49,"POLYGON ((-117.153723 32.70837, -117.154025 32.708365, -117.154593 32.708356, -117.154603 32.708377, -117.154633 32.708483, -117.154643 32.708559, -117.154648 32.708595, -117.154637 32.70919, -117.154634 32.709402, -117.154503 32.709401, -117.154112 32.709401, -117.153982 32.709401, -117.153931 32.709401, -117.15378 32.709401, -117.15373 32.709401, -117.153728 32.709193, -117.153727 32.708992, -117.153724 32.708576, -117.153723 32.70837))"
060730051002013,22,"POLYGON ((-117.154634 32.709402, -117.154637 32.70919, -117.154648 32.708595, -117.154643 32.708559, -117.154633 32.708483, -117.154603 32.708377, -117.154593 32.708356, -117.154652 32.70836, -117.154787 32.708359, -117.155372 32.708356, -117.155567 32.708355, -117.155563 32.708562, -117.155551 32.709187, -117.155548 32.709396, -117.155365 32.709397, -117.154816 32.7094, -117.154634 32.709402))"
060730051002014,11,"POLYGON ((-117.155567 32.708355, -117.156448 32.708344, -117.156451 32.709394, -117.15627 32.709394, -117.155728 32.709395, -117.155548 32.709396, -117.155551 32.709187, -117.155563 32.708562, -117.155567 32.708355))"
060730051002015,12,"POLYGON ((-117.154878 32.707403, -117.155533 32.707366, -117.156448 32.707314, -117.156448 32.708344, -117.155567 32.708355, -117.155562 32.70824, -117.155539 32.708129, -117.155533 32.708112, -117.155499 32.708023, -117.155444 32.707925, -117.155375 32.707834, -117.155285 32.707745, -117.155065 32.70756, -117.154878 32.707403))"
060730051002016,24,"POLYGON ((-117.15424 32.707939, -117.154218 32.707551, -117.154206 32.707317, -117.15461 32.707314, -117.154878 32.707403, -117.155065 32.70756, -117.155285 32.707745, -117.155375 32.707834, -117.155444 32.707925, -117.155499 32.708023, -117.155533 32.708112, -117.155539 32.708129, -117.155562 32.70824, -117.155567 32.708355, -117.155372 32.708356, -117.154787 32.708359, -117.154652 32.70836, -117.154593 32.708356, -117.154559 32.708281, -117.154496 32.708182, -117.154472 32.708154, -117.154418 32.708093, -117.15424 32.707939))"
060730051002017,15,"POLYGON ((-117.154206 32.707317, -117.154218 32.707551, -117.15424 32.707939, -117.154418 32.708093, -117.154472 32.708154, -117.154496 32.708182, -117.154559 32.708281, -117.154593 32.708356, -117.154025 32.708365, -117.153723 32.70837, -117.15372 32.708159, -117.153713 32.707609, -117.153711 32.707527, -117.153709 32.707317, -117.154044 32.707316, -117.154206 32.707317))"
060730051002018,541,"POLYGON ((-117.152799 32.707332, -117.152981 32.707329, -117.153527 32.70732, -117.153709 32.707317, -117.153711 32.707527, -117.153713 32.707609, -117.15372 32.708159, -117.153723 32.70837, -117.153536 32.70837, -117.152976 32.708371, -117.15279 32.708374, -117.152791 32.708165, -117.152797 32.70754, -117.152799 32.707332))"
060730051002019,504,"POLYGON ((-117.151883 32.708372, -117.151882 32.708163, -117.151879 32.707535, -117.151879 32.707328, -117.152063 32.707327, -117.152615 32.707331, -117.152799 32.707332, -117.152797 32.70754, -117.152791 32.708165, -117.15279 32.708374, -117.152608 32.708373, -117.152064 32.708371, -117.151883 32.708372))"
060730051002020,323,"POLYGON ((-117.151868 32.706281, -117.152053 32.706277, -117.152608 32.706271, -117.152794 32.706269, -117.152795 32.70648, -117.152798 32.707119, -117.152799 32.707332, -117.152615 32.707331, -117.152063 32.707327, -117.151879 32.707328, -117.151876 32.707118, -117.15187 32.70649, -117.151868 32.706281))"
060730051002021,174,"POLYGON ((-117.152794 32.706269, -117.15288 32.706271, -117.153138 32.70627899999999, -117.153221 32.706284, -117.153319 32.70627899999999, -117.153512 32.706275, -117.153606 32.706272, -117.153702 32.70627, -117.153703 32.706363, -117.153708 32.706642, -117.153709 32.706734, -117.153709 32.706851, -117.153709 32.7072, -117.153709 32.707317, -117.153527 32.70732, -117.152981 32.707329, -117.152799 32.707332, -117.152798 32.707119, -117.152795 32.70648, -117.152794 32.706269))"
060730051002022,12,"POLYGON ((-117.153981 32.706269, -117.154112 32.706266, -117.154505 32.706265, -117.154637 32.706265, -117.154607 32.706924, -117.154206 32.707317, -117.154044 32.707316, -117.153709 32.707317, -117.153709 32.7072, -117.153709 32.706851, -117.153709 32.706734, -117.153708 32.706642, -117.153703 32.706363, -117.153702 32.70627, -117.153757 32.706269, -117.153925 32.706269, -117.153981 32.706269))"
060730051002023,8,"POLYGON ((-117.154637 32.706265, -117.154685 32.706265, -117.154829 32.706265, -117.154878 32.706266, -117.155533 32.706841, -117.154878 32.707403, -117.15461 32.707314, -117.154206 32.707317, -117.154607 32.706924, -117.154637 32.706265))"
060730051002024,20,"POLYGON ((-117.154878 32.706266, -117.155105 32.706266, -117.15552 32.706267, -117.155609 32.706282, -117.155699 32.706313, -117.15577 32.706353, -117.155777 32.706357, -117.155946 32.706497, -117.156448 32.706862, -117.156448 32.707314, -117.155533 32.707366, -117.154878 32.707403, -117.155533 32.706841, -117.154878 32.706266))"
