OBJECTID,APN,APN_8,PARCELID,FRACTINT,LEGLDESC,ASR_LAND,ASR_IMPR,ASR_TOTAL,DOCTYPE,DOCNMBR,DOCDATE,ACREAGE,TAXSTAT,OWNEROCC,TRANUM,ASR_ZONE,UNITQTY,SUBMAP,SUBNAME,BEDROOMS,BATHS,POOL,PAR_VIEW,SITUS_ZIP,X_COORD,Y_COORD,SUB_TYPE,MULTI,Shape_Length,Shape_Area,SITUS_JURI,SITUS_STRE,SITUS_SUFF,SITUS_POST,SITUS_PRE_,SITUS_ADDR,SITUS_FRAC,SITUS_BUIL,SITUS_SUIT,ASR_LANDUS,NUCLEUS_ZO,NUCLEUS_US,SITUS_COMM,YEAR_EFFEC,TOTAL_LVG_,ADDITION_A,GARAGE_CON,GARAGE_STA,CARPORT_ST,USABLE_SQ_,QUAL_CLASS,NUCLEUS_SI,NUCLEUS__1,NUCLEUS__2,OVERLAY_JU,SHAPE_STAr,SHAPE_STLe
5669,5332311734,53323117,258425,1,PAR 1*US L34PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,198700,527112,725812,1,092182,031419,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,020, ,Y,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,503,17,10,171,SAN DIEGO,03,1465,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
5670,5332311735,53323117,258425,1,PAR 1*US L35PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,258000,512000,770000,2,014064,011017,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,020, ,Y,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,501,17,10,171,SAN DIEGO,03,1665,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
5679,5332311631,53323116,258425,5,PAR 1*US T30PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,350000,185500,535500,1,461117,110218,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,015, ,Y,92101-2549,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,310,17,10,171,SAN DIEGO,03,902,0,N,001, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
5682,5332311652,53323116,258425,1,PAR 1*US T48PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,129000,361000,490000,2,080173,021809,0,T, ,08242,1,1,PM18790,PARCEL MAP NO 18790,001,010, ,Y,92101-2550,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,419,17,10,171,SAN DIEGO,03,937,0,N,001, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
5722,5332311613,53323116,258425,1,PAR 1*US T13PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,152675,458038,610713,1,596400,110216,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2548,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,112,17,10,171,SAN DIEGO,03,1270,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
5723,5332311614,53323116,258425,1,PAR 1*US T14PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,123859,386346,510205,1,452495,041803,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2548,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,114,17,10,171,SAN DIEGO,03,1270,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
6007,5332311622,53323116,258425,1,PAR 1*US T22PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,135000,435000,570000,1,396102,080416,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2548,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,104,17,10,171,SAN DIEGO,03,1217,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
6026,5332311607,53323116,258425,1,PAR 1*US T7 PER DOC03-447707&UND INT IN PHASE 1 BLDG ENVELOPE\,216672,507271,723943,1,428741,101618,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,002,025, ,N,92101-2548,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1750, , ,103,17,10,171,SAN DIEGO,03,1533,0,N,002, , ,D070,1750,0, ,SD,59132.3779297,1002.00949477
6028,5332311727,53323117,258425,1,PAR 1*US L27PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,329674,494511,824185,1,121115,032714,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,001,020, ,Y,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,313,17,10,171,SAN DIEGO,03,1692,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
6029,5332311733,53323117,258425,1,PAR 1*US L33PER DOC03-447707&UND INT IN PHASE 2 BLDG ENVELOPE\,219781,510994,730775,1,475177,072913,0,T,Y,08242,1,1,PM18790,PARCEL MAP NO 18790,001,020, ,Y,92101-2553,6278809.63089,1844275.15054,1,N,1002.0098156105034,59132.43914896961,SD,KETTNER,BLVD, , ,1780, , ,504,17,10,171,SAN DIEGO,03,1506,0,N,002, , ,C070,1780,0, ,SD,59132.3779297,1002.00949477
